Name,Symbol,Price,# of Shares,Market Value
Alphabet Inc Class A,,168.2,10.0,1682.0
Alphabet Inc Class C,,170.7,12.0,2048.4
Alphabet Inc,,169.4,5.0,847.0
Berkshire Hathaway Inc,,410000.0,0.01,4100.0
Berkshire Hathaway Inc Class B,,420.5,8.0,3364.0
Under Armour Class A,,8.9,50.0,445.0
Under Armour Class C,,8.3,60.0,498.0
FOX Corp Class A,,31.1,20.0,622.0
FOX Corp Class B,,29.9,20.0,598.0
Comcast Corp Class A,,42.3,15.0,634.5
Toyota Motor Corp,,197.6,7.0,1383.2
Tencent Holdings Ltd,,41.2,40.0,1648.0
ASML Holding NV,,1020.3,2.0,2040.6
SAP SE,,201.7,5.0,1008.5
Roche Holding AG,,37.5,80.0,3000.0
Novo Nordisk A/S,,125.9,12.0,1510.8
Nestlé S.A.,,112.1,14.0,1569.4
LVMH Moët Hennessy Louis Vuitton,,174.3,10.0,1743.0
"Nintendo Co., Ltd.",,14.9,120.0,1788.0
BP p.l.c.,,36.2,40.0,1448.0
Adidas AG,,110.5,9.0,994.5
Heineken N.V.,,51.0,25.0,1275.0
CRH plc,,76.7,14.0,1073.8
Royal Bank,,100.2,10.0,1002.0
Royal Caribbean Group,,116.9,10.0,1169.0
Coca-Cola,,58.9,20.0,1178.0
Coca-Cola Bottling Co. Consolidated,,920.0,1.0,920.0
Coca-Cola HBC,,45.2,30.0,1356.0
Vanguard S&P 500 ETF,,520.2,4.0,2080.8
SPDR S&P 500 ETF Trust,,557.3,3.0,1671.9
iShares Core S&P 500 ETF,,536.4,3.0,1609.2
Invesco QQQ Trust,,492.7,4.0,1970.8
Schwab U.S. Broad Market ETF,,64.1,30.0,1923.0
SPDR Gold Trust,,180.1,5.0,900.5
iShares 20+ Year Treasury Bond ETF,,88.5,15.0,1327.5
VanEck Gold Miners ETF,,31.0,40.0,1240.0
The Walt Disney Company,,96.2,10.0,962.0
JPMorgan,,182.1,6.0,1092.6
Visa,,241.7,5.0,1208.5
Mastercard,,410.9,3.0,1232.7
Goldman Sachs Group,,387.5,3.0,1162.5
Morgan Stanley,,83.4,12.0,1000.8
Meta Platforms Inc,,512.3,3.0,1536.9
Apple Inc.,,230.2,5.0,1151.0
Microsoft Corporation,,418.5,3.0,1255.5
Palantir Technologies,,42.1,25.0,1052.5
Infosys,,18.7,100.0,1870.0
HDFC Bank Ltd,,60.3,25.0,1507.5
ICICI Bank,,28.9,60.0,1734.0
Tata Motors,,28.2,80.0,2256.0
Bradesco,,2.8,500.0,1400.0
Sea Limited,,63.7,20.0,1274.0
Ryanair Holdings,,136.4,6.0,818.4
JD.com Inc,,28.3,60.0,1698.0
Baidu,,96.1,10.0,961.0
Pinduoduo,,147.0,7.0,1029.0
NIO Inc.,,6.9,180.0,1242.0
Grab Holdings,,3.5,300.0,1050.0
Royal Dutch Shell,,69.8,20.0,1396.0
Google,,169.0,5.0,845.0
Square,,68.4,15.0,1026.0
GlaxoSmithKline,,41.2,30.0,1236.0
British American Tobacco,,30.5,50.0,1525.0
Philip Morris International,,95.9,12.0,1150.8
Anheuser-Busch InBev,,60.3,20.0,1206.0
Reliance Industries,,32.1,90.0,2889.0
,,0.0,0.0,0.0
Tesla Inc,TSLA,250.0,2.0,500.0
NVIDIA Corporation,NVDA,490.0,3.0,1470.0
Walmart Inc,WMT,70.0,10.0,700.0
